"id","programaId","pregunta","respuestaCorrecta","fechaCreacion"
1,1,"¿En qué año comenzó Cortá por Lozano?","2020","2024-10-09 13:30:00"
2,2,"¿Quién conduce Telefe Noticias?","Rodolfo Barili","2024-10-09 19:45:00"
3,3,"¿En qué año arrancó Bendita TV?","2005","2024-10-09 21:15:00"
4,4,"¿En qué plataforma se transmite Nadie Dice Nada?","Luzu TV","2024-10-09 15:00:00"
5,5,"¿Quién conduce Gelatina?","Migue Granados","2024-10-09 17:00:00"
6,1,"¿En qué año comenzó Cortá por Lozano?","2020","2024-10-09 13:30:00"
7,2,"¿Quién conduce Telefe Noticias?","Rodolfo Barili","2024-10-09 19:45:00"
8,3,"¿En qué año arrancó Bendita TV?","2005","2024-10-09 21:15:00"
9,4,"¿En qué plataforma se transmite Nadie Dice Nada?","Luzu TV","2024-10-09 15:00:00"
10,5,"¿Quién conduce Gelatina?","Migue Granados","2024-10-09 17:00:00"
11,1,"¿En qué año comenzó Cortá por Lozano?","2020","2024-10-09 13:30:00"
12,2,"¿Quién conduce Telefe Noticias?","Rodolfo Barili","2024-10-09 19:45:00"
13,3,"¿En qué año arrancó Bendita TV?","2005","2024-10-09 21:15:00"
14,4,"¿En qué plataforma se transmite Nadie Dice Nada?","Luzu TV","2024-10-09 15:00:00"
15,5,"¿Quién conduce Gelatina?","Migue Granados","2024-10-09 17:00:00"
16,1,"¿En qué año comenzó Cortá por Lozano?","2020","2024-10-09 13:30:00"
17,2,"¿Quién conduce Telefe Noticias?","Rodolfo Barili","2024-10-09 19:45:00"
18,3,"¿En qué año arrancó Bendita TV?","2005","2024-10-09 21:15:00"
19,4,"¿En qué plataforma se transmite Nadie Dice Nada?","Luzu TV","2024-10-09 15:00:00"
20,5,"¿Quién conduce Gelatina?","Migue Granados","2024-10-09 17:00:00"
